"business_id","topic_1_Facilities","topic_2_Courses","topic_3_Service_and_Accessories","topic_4_Membership_and_Price","topic_5_Trainer","topic_6_Time","topic_7_Environment","topic_8_Other","weighted_stars","summary_0","summary_1","summary_2","summary_3","summary_4","summary_5","summary_6","summary_7","summary_8","summary_9","summary_10","summary_11","summary_12","summary_13","summary_14","summary_15","summary_16","summary_17","summary_18","summary_19","summary_20","summary_21","summary_22","summary_23","summary_24","summary_25","summary_26","summary_27","summary_28","summary_29","summary_30","summary_31","review_number_id"
36430,-0.04,0.075,0.5,0.0285714285714286,-0.0333333333333333,0.0125,0,0,5,10,1,8,1,12,2,2,8,8,4,0,4,21,2,1,18,6,0,1,5,8,2,1,5,0,0,0,0,61,0,0,61,19
3665,-0.00625,0,0.111111111111111,-0.0222222222222222,1,-0.0333333333333333,-0.1,0,4.38461538461539,16,1,2,13,4,0,0,4,9,1,0,8,9,0,1,8,1,1,0,0,6,0,2,4,2,0,1,1,46,0,0,46,7
52818,-0.0333333333333333,0,-0.0358974358974359,0,0,-0.0416666666666667,-0.0666666666666667,0,2.54310344827586,9,0,3,6,4,0,0,4,39,3,13,23,8,0,0,8,0,0,0,0,24,1,8,15,3,0,1,2,127,0,0,127,19
77397,0.333333333333333,0,0.5,1,0,0,0,0,4.8,3,1,0,2,3,0,0,3,2,1,0,1,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,5,0,0,5,3
183898,0,-0.0307692307692308,0.223076923076923,-0.025,-0.1,0,0,0,3.84285714285714,0,0,0,0,13,0,3,10,13,3,1,9,4,0,1,3,2,0,1,1,2,0,0,2,0,0,0,0,15,0,0,15,5
93787,-0.00568181818181819,-0.0164179104477612,0.00088495575221239,0.00666666666666667,0.106451612903226,-0.0209677419354839,-0.1625,0,2.76696542893726,88,4,23,61,67,5,21,41,113,10,22,81,105,6,16,83,31,4,3,24,62,3,11,48,8,0,5,3,459,0,0,459,103
69213,-0.0285714285714286,-0.06875,0.1,-0.03,0,-0.0166666666666667,0,0,3.01408450704225,7,0,2,5,16,0,3,13,8,1,1,6,10,1,3,6,4,0,0,4,6,0,1,5,0,0,0,0,106,0,0,106,12
77412,0.0166666666666667,-0.0444444444444444,0.0166666666666667,0.0448275862068966,0,0.016,0.366666666666667,0,2.58282208588957,12,1,6,5,9,0,1,8,6,1,0,5,29,5,3,21,3,1,1,1,25,2,6,17,3,2,0,1,79,0,0,79,23
175724,0.114814814814815,0.0666666666666667,0.0181818181818182,0.0236842105263158,-0.075,-0.0818181818181818,0,0,3.97959183673469,27,4,2,21,12,1,1,10,11,2,1,8,38,4,10,24,4,0,1,3,11,1,5,5,0,0,0,0,79,0,0,79,19
192110,0.075,0,0.0333333333333333,0.06,0,-0.02,0,0,3.525,16,2,4,10,7,0,0,7,12,2,5,5,5,2,0,3,2,0,0,2,5,1,1,3,1,0,0,1,29,0,0,29,7
3694,0,0,0,0,0,0,0,0,2.85714285714286,4,0,0,4,2,0,0,2,2,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,11,4
85621,0,0.266666666666667,-0.1,-0.0111111111111111,0.271428571428571,0,0,0,5,5,0,0,5,6,2,1,3,1,0,1,0,9,0,1,8,7,3,1,3,3,0,0,3,2,0,0,2,21,0,0,21,9
77430,-0.025,-0.005,0.0909090909090909,-0.125,-0.05,0,0,0,3.32,4,0,1,3,20,0,1,19,11,2,1,8,4,0,1,3,2,0,1,1,2,0,0,2,1,0,0,1,32,0,0,32,10
134776,0,0,-0.1,0,0,-0.1,0,0,4.75,4,0,0,4,5,0,0,5,2,0,1,1,3,0,0,3,1,0,0,1,1,0,1,0,0,0,0,0,20,0,0,20,6
